"","id","educacion","sexo","edad","cervezas","hijos","cigarrillo","cigar"
"195",700,16,"Masculino",51,3,0,1,"1"
"196",854,12,"Femenino",28,2,0,0,"0"
"197",1017,12,"Femenino",42,4,2,1,"1"
"198",86,12,"Masculino",28,1,0,0,"0"
"199",1096,12,"Femenino",53,0,4,0,"0"
"200",1098,18,"Masculino",54,4,0,1,"1"
"201",80,16,"Masculino",28,3,0,0,"0"
"202",320,8,"Masculino",52,4,4,1,"1"
"203",23,13,"Femenino",22,2,0,0,"0"
"204",792,12,"Femenino",22,2,0,0,"0"
"205",1126,14,"Masculino",62,1,1,1,"1"
"206",809,12,"Femenino",23,1,1,0,"0"
"207",345,14,"Masculino",60,1,1,0,"0"
"208",499,12,"Masculino",31,4,2,0,"0"
"209",45,12,"Masculino",24,4,0,0,"0"
"210",507,19,"Femenino",32,3,1,0,"0"
"211",257,12,"Femenino",43,1,1,0,"0"
"212",631,16,"Masculino",42,1,0,1,"1"
"213",718,13,"Femenino",57,4,2,1,"1"
"214",784,15,"Femenino",21,1,0,0,"0"
"215",1123,6,"Femenino",61,6,4,0,"0"
"216",1006,14,"Masculino",41,6,1,0,"0"
"217",38,13,"Masculino",23,4,0,0,"0"
"218",1089,12,"Masculino",52,3,0,1,"1"
"219",187,14,"Femenino",36,1,0,0,"0"
"220",757,7,"Femenino",70,2,4,0,"0"
"221",1146,8,"Masculino",72,5,0,1,"1"
"222",443,16,"Femenino",25,4,0,0,"0"
"223",121,14,"Masculino",32,3,2,1,"1"
"224",550,17,"Femenino",35,2,2,1,"1"
"225",723,11,"Femenino",58,3,2,0,"0"
"226",1024,14,"Masculino",43,4,2,1,"1"
"227",847,14,"Masculino",27,2,2,0,"0"
"228",909,16,"Femenino",33,1,0,1,"1"
"229",53,16,"Masculino",25,2,1,1,"1"
"230",1056,16,"Masculino",47,3,1,0,"0"
"231",441,12,"Femenino",25,5,0,0,"0"
"232",415,14,"Masculino",23,4,1,0,"0"
"233",429,12,"Femenino",24,3,0,0,"0"
"234",971,16,"Femenino",38,1,1,1,"1"
"235",193,14,"Femenino",37,5,1,0,"0"
"236",478,13,"Masculino",29,0,0,1,"1"
"237",185,12,"Masculino",36,1,0,0,"0"
"238",364,13,"Femenino",64,2,2,1,"1"
"239",532,16,"Femenino",33,3,0,0,"0"
"240",362,10,"Masculino",63,3,3,1,"1"
"241",714,12,"Femenino",55,3,3,1,"1"
"242",139,16,"Femenino",33,1,0,1,"1"
"243",1070,17,"Masculino",49,1,1,1,"1"
"244",180,14,"Femenino",35,3,4,0,"0"
"245",730,14,"Masculino",60,1,1,0,"0"
"246",1048,16,"Masculino",47,2,2,1,"1"
"247",1085,16,"Masculino",51,3,0,1,"1"
"248",251,14,"Masculino",43,3,3,1,"1"
"249",998,6,"Femenino",40,3,2,0,"0"
"250",408,13,"Femenino",22,2,0,0,"0"
"251",473,8,"Femenino",28,3,2,0,"0"
"252",150,12,"Femenino",33,1,3,0,"0"
"253",984,16,"Masculino",39,3,2,0,"0"
"254",336,12,"Femenino",58,2,3,1,"1"
"255",1066,12,"Femenino",49,2,3,1,"1"
"256",259,14,"Femenino",43,2,2,0,"0"
"257",800,14,"Masculino",23,4,1,0,"0"
"258",290,12,"Femenino",48,4,2,1,"1"
"259",224,14,"Masculino",40,2,0,0,"0"
"260",669,14,"Femenino",47,0,2,0,"0"
"261",901,16,"Femenino",32,1,2,0,"0"
"262",256,14,"Masculino",43,2,0,0,"0"
"263",382,8,"Femenino",81,4,4,1,"1"
"264",1049,18,"Femenino",47,0,2,1,"1"
"265",82,16,"Femenino",28,1,0,0,"0"
"266",628,12,"Femenino",41,3,3,0,"0"
"267",639,14,"Masculino",43,4,2,1,"1"
"268",637,12,"Masculino",43,4,3,1,"1"
"269",546,14,"Femenino",34,3,2,0,"0"
"270",262,11,"Femenino",43,2,2,0,"0"
"271",477,16,"Femenino",29,4,4,1,"1"
"272",936,16,"Masculino",35,1,0,1,"1"
"273",422,10,"Femenino",23,10,1,0,"0"
"274",517,14,"Femenino",32,1,2,0,"0"
"275",199,13,"Femenino",37,3,2,0,"0"
"276",388,10,"Masculino",20,5,0,1,"1"
"277",1143,12,"Masculino",71,4,3,1,"1"
"278",745,9,"Masculino",63,3,2,1,"1"
"279",1103,13,"Femenino",57,4,2,1,"1"
"280",97,18,"Femenino",29,2,0,0,"0"
"281",411,15,"Femenino",22,2,0,0,"0"
"282",572,14,"Femenino",36,1,0,0,"0"
"283",219,12,"Masculino",40,2,2,1,"1"
"284",265,12,"Masculino",44,1,2,1,"1"
"285",549,20,"Masculino",35,1,1,1,"1"
"286",1139,12,"Femenino",67,4,4,1,"1"
"287",945,16,"Femenino",35,6,3,0,"0"
"288",830,15,"Masculino",26,1,0,1,"1"
"289",247,12,"Femenino",42,4,2,1,"1"
"290",182,18,"Femenino",36,1,2,1,"1"
"291",818,12,"Femenino",24,1,1,0,"0"
"292",130,12,"Femenino",32,2,2,0,"0"
"293",744,11,"Masculino",62,2,2,0,"0"
"294",1028,13,"Femenino",43,2,2,0,"0"
"295",735,12,"Femenino",61,4,3,0,"0"
"296",250,12,"Masculino",42,3,1,0,"0"
"297",1105,10,"Masculino",58,3,1,1,"1"
"298",937,15,"Masculino",35,3,0,1,"1"
"299",17,15,"Masculino",22,4,0,1,"1"
"300",325,13,"Femenino",52,3,3,0,"0"
"301",488,12,"Masculino",30,3,0,1,"1"
"302",964,15,"Femenino",37,3,3,0,"0"
"303",947,16,"Femenino",35,2,2,0,"0"
"304",662,16,"Masculino",47,1,3,1,"1"
"305",107,14,"Masculino",30,6,1,0,"0"
"306",966,13,"Masculino",37,3,2,0,"0"
"307",994,14,"Masculino",40,2,0,0,"0"
"308",254,14,"Masculino",43,4,2,1,"1"
"309",762,16,"Femenino",72,1,2,1,"1"
"310",524,16,"Femenino",33,1,0,1,"1"
"311",301,20,"Masculino",49,0,1,1,"1"
"312",99,10,"Masculino",29,5,1,0,"0"
"313",916,11,"Femenino",33,12,2,0,"0"
"314",946,12,"Femenino",35,1,1,0,"0"
"315",935,17,"Femenino",35,2,2,1,"1"
"316",897,18,"Femenino",32,3,0,0,"0"
"317",476,19,"Femenino",28,3,2,0,"0"
"318",357,8,"Masculino",62,4,4,1,"1"
"319",915,14,"Femenino",33,1,1,0,"0"
"320",1135,10,"Femenino",64,2,2,1,"1"
"321",1050,11,"Masculino",47,6,4,1,"1"
"322",514,12,"Masculino",32,2,0,0,"0"
"323",676,12,"Masculino",48,3,1,0,"0"
"324",471,12,"Masculino",28,1,0,0,"0"
"325",302,12,"Femenino",49,1,0,0,"0"
"326",418,13,"Masculino",23,2,0,0,"0"
"327",65,13,"Femenino",26,2,0,0,"0"
"328",122,19,"Femenino",32,3,1,0,"0"
"329",356,14,"Masculino",62,1,1,1,"1"
"330",10,13,"Masculino",21,2,0,0,"0"
"331",95,12,"Femenino",29,2,2,1,"1"
"332",131,16,"Femenino",32,1,2,0,"0"
"333",260,13,"Femenino",43,1,4,0,"0"
"334",660,12,"Femenino",46,5,2,0,"0"
"335",298,17,"Femenino",49,1,0,1,"1"
"336",485,12,"Masculino",29,2,4,0,"0"
"337",426,16,"Femenino",23,2,0,0,"0"
"338",906,14,"Masculino",33,4,2,1,"1"
"339",300,17,"Masculino",49,1,1,1,"1"
"340",319,12,"Masculino",52,3,0,1,"1"
"341",237,14,"Masculino",41,2,2,1,"1"
"342",1110,14,"Femenino",59,8,2,1,"1"
"343",165,17,"Femenino",35,2,2,1,"1"
"344",793,13,"Femenino",22,2,0,0,"0"
"345",722,16,"Femenino",58,3,3,0,"0"
"346",626,15,"Masculino",41,1,1,0,"0"
"347",1055,16,"Masculino",47,0,3,0,"0"
"348",1047,16,"Masculino",47,1,3,1,"1"
"349",890,12,"Masculino",32,1,0,1,"1"
"350",293,16,"Femenino",48,2,0,0,"0"
"351",623,12,"Femenino",41,2,4,1,"1"
"352",380,9,"Masculino",77,4,2,1,"1"
"353",436,16,"Masculino",25,2,0,1,"1"
"354",416,12,"Masculino",23,0,1,0,"0"
"355",374,11,"Femenino",71,3,4,0,"0"
"356",671,16,"Masculino",47,3,1,0,"0"
"357",741,14,"Masculino",62,1,1,1,"1"
"358",753,12,"Masculino",65,3,3,0,"0"
"359",31,12,"Masculino",23,0,1,0,"0"
"360",136,14,"Masculino",33,4,2,1,"1"
"361",305,12,"Masculino",49,3,0,0,"0"
"362",857,14,"Femenino",28,2,0,0,"0"
"363",34,16,"Femenino",23,3,0,0,"0"
"364",368,12,"Masculino",65,3,3,0,"0"
"365",961,16,"Masculino",37,0,2,1,"1"
"366",307,12,"Femenino",50,4,1,1,"1"
"367",366,13,"Femenino",64,2,4,0,"0"
"368",446,14,"Femenino",26,6,1,1,"1"
"369",322,16,"Masculino",52,1,4,0,"0"
"370",482,18,"Femenino",29,2,0,0,"0"
"371",551,16,"Masculino",35,1,0,1,"1"
"372",564,12,"Femenino",35,1,4,0,"0"
"373",263,8,"Masculino",44,2,2,1,"1"
"374",417,5,"Masculino",23,2,0,0,"0"
"375",1090,8,"Masculino",52,4,4,1,"1"
"376",593,16,"Femenino",38,2,0,0,"0"
"377",972,19,"Masculino",38,3,0,0,"0"
"378",752,12,"Femenino",65,5,2,1,"1"
"379",183,14,"Masculino",36,4,1,1,"1"
"380",75,12,"Femenino",27,3,1,0,"0"
"381",427,12,"Femenino",24,4,0,1,"1"
"382",1097,14,"Masculino",54,3,2,1,"1"
"383",1029,14,"Femenino",43,2,2,0,"0"
"384",510,12,"Femenino",32,1,2,0,"0"
"385",924,16,"Femenino",34,1,0,1,"1"
"386",1000,13,"Masculino",41,2,3,1,"1"
"387",805,15,"Femenino",23,1,0,0,"0"
"388",106,12,"Femenino",30,6,4,0,"0"
"389",957,14,"Femenino",36,1,0,0,"0"
"390",615,13,"Masculino",41,2,3,1,"1"
"391",218,17,"Masculino",40,1,2,1,"1"
"392",311,14,"Femenino",50,2,3,0,"0"
"393",635,12,"Masculino",42,3,1,0,"0"
"394",688,12,"Masculino",49,1,4,0,"0"
"395",521,14,"Masculino",33,4,2,1,"1"
"396",266,11,"Femenino",44,2,4,1,"1"
"397",697,18,"Masculino",50,1,2,0,"0"
"398",125,12,"Femenino",32,1,2,0,"0"
"399",732,10,"Femenino",60,2,2,0,"0"
"400",674,16,"Femenino",48,2,0,1,"1"
"401",277,16,"Masculino",47,1,3,1,"1"
"402",386,12,"Masculino",18,3,0,0,"0"
"403",873,12,"Masculino",30,3,0,1,"1"
"404",689,13,"Masculino",49,1,0,0,"0"
"405",1036,11,"Femenino",44,2,4,1,"1"
"406",41,16,"Femenino",23,2,0,0,"0"
"407",905,12,"Masculino",33,2,1,1,"1"
"408",241,15,"Masculino",41,1,1,0,"0"
"409",582,12,"Femenino",37,0,0,0,"0"
"410",9,12,"Masculino",21,4,0,1,"1"
"411",500,20,"Femenino",31,2,0,0,"0"
"412",944,16,"Masculino",35,2,0,0,"0"
"413",134,13,"Femenino",33,4,0,1,"1"
"414",1015,16,"Femenino",42,2,4,1,"1"
"415",420,15,"Femenino",23,1,0,0,"0"
"416",1053,19,"Femenino",47,1,2,0,"0"
"417",1152,8,"Femenino",81,4,4,1,"1"
"418",353,6,"Femenino",61,6,4,0,"0"
"419",44,12,"Femenino",24,3,0,0,"0"
"420",279,18,"Femenino",47,0,2,1,"1"
"421",763,12,"Masculino",75,4,0,1,"1"
"422",197,12,"Femenino",37,0,0,0,"0"
"423",638,18,"Masculino",43,3,1,1,"1"
"424",1091,5,"Femenino",52,3,4,1,"1"
"425",67,10,"Femenino",26,3,3,0,"0"
"426",537,10,"Femenino",33,4,2,0,"0"
"427",925,15,"Masculino",34,1,0,1,"1"
"428",142,10,"Masculino",33,1,2,0,"0"
"429",865,12,"Femenino",29,2,2,1,"1"
"430",731,12,"Masculino",60,2,4,0,"0"
"431",423,13,"Masculino",23,4,0,0,"0"
"432",1065,12,"Femenino",49,3,3,1,"1"
"433",756,12,"Femenino",69,3,2,1,"1"
"434",1121,15,"Femenino",61,3,4,0,"0"
"435",1067,12,"Masculino",49,3,3,1,"1"
"436",513,12,"Femenino",32,3,2,0,"0"
"437",346,12,"Masculino",60,2,4,0,"0"
"438",569,10,"Femenino",36,8,2,0,"0"
"439",1112,12,"Femenino",59,2,4,0,"0"
"440",54,14,"Masculino",25,1,0,1,"1"
"441",370,12,"Femenino",67,2,4,1,"1"
"442",555,12,"Masculino",35,3,2,1,"1"
"443",198,13,"Femenino",37,3,0,0,"0"
"444",919,12,"Masculino",33,8,3,0,"0"
"445",348,12,"Femenino",61,2,0,1,"1"
"446",459,16,"Femenino",27,3,0,0,"0"
"447",295,12,"Femenino",49,3,3,1,"1"
"448",578,14,"Femenino",37,5,1,0,"0"
"449",540,15,"Masculino",34,1,0,1,"1"
"450",1151,12,"Femenino",77,8,4,1,"1"
"451",577,16,"Masculino",37,1,0,1,"1"
"452",591,12,"Femenino",38,1,2,0,"0"
"453",72,12,"Masculino",27,1,0,0,"0"
"454",303,12,"Masculino",49,1,4,0,"0"
"455",81,11,"Femenino",28,4,4,0,"0"
"456",361,12,"Femenino",63,1,4,1,"1"
"457",561,12,"Femenino",35,1,1,0,"0"
"458",342,12,"Femenino",59,2,4,0,"0"
"459",702,8,"Femenino",51,3,4,0,"0"
"460",94,16,"Femenino",29,3,1,1,"1"
"461",764,11,"Masculino",75,1,4,1,"1"
"462",162,16,"Femenino",34,1,0,0,"0"
"463",390,12,"Femenino",20,3,1,0,"0"
"464",450,13,"Femenino",26,2,0,0,"0"
"465",967,12,"Femenino",37,0,0,0,"0"
"466",433,12,"Femenino",24,1,1,0,"0"
"467",783,13,"Masculino",21,2,1,0,"0"
"468",958,14,"Masculino",36,3,2,0,"0"
"469",171,16,"Masculino",35,0,0,0,"0"
"470",843,9,"Femenino",27,1,2,0,"0"
"471",449,15,"Femenino",26,0,2,0,"0"
"472",825,14,"Masculino",25,0,0,1,"1"
"473",573,14,"Masculino",36,3,2,0,"0"
"474",149,12,"Masculino",33,8,3,0,"0"
"475",948,16,"Femenino",35,1,2,0,"0"
"476",785,10,"Masculino",21,4,0,0,"0"
"477",170,12,"Masculino",35,3,2,1,"1"
"478",777,8,"Femenino",20,8,0,0,"0"
"479",455,14,"Masculino",26,1,0,0,"0"
"480",1,12,"Masculino",18,3,0,0,"0"
"481",861,19,"Femenino",28,3,2,0,"0"
"482",239,12,"Femenino",41,2,3,1,"1"
"483",60,15,"Masculino",26,1,0,1,"1"
"484",622,14,"Masculino",41,2,2,1,"1"
"485",201,16,"Femenino",38,1,1,1,"1"
"486",439,14,"Masculino",25,1,0,1,"1"
"487",115,20,"Femenino",31,2,0,0,"0"
"488",554,12,"Femenino",35,2,1,1,"1"
"489",712,14,"Masculino",54,3,2,1,"1"
"490",375,9,"Masculino",72,2,0,1,"1"
"491",194,15,"Femenino",37,3,3,0,"0"
"492",158,12,"Femenino",34,3,0,0,"0"
"493",192,16,"Masculino",37,1,0,1,"1"
"494",903,15,"Masculino",33,2,0,1,"1"
"495",1154,12,"Femenino",85,6,0,1,"1"
"496",1014,16,"Masculino",42,4,2,1,"1"
"497",431,16,"Masculino",24,2,0,0,"0"
"498",596,16,"Femenino",39,1,2,1,"1"
"499",355,8,"Femenino",62,2,3,1,"1"
"500",384,12,"Femenino",85,6,0,1,"1"
"501",253,18,"Masculino",43,3,1,1,"1"
"502",747,10,"Masculino",63,3,3,1,"1"
"503",35,15,"Femenino",23,1,0,0,"0"
"504",584,13,"Femenino",37,3,2,0,"0"
"505",144,12,"Femenino",33,2,2,0,"0"
"506",6,12,"Femenino",20,4,1,0,"0"
"507",394,12,"Masculino",21,4,0,1,"1"
"508",349,11,"Femenino",61,3,2,1,"1"
"509",552,15,"Masculino",35,3,0,1,"1"
"510",641,14,"Masculino",43,2,0,0,"0"
"511",794,12,"Masculino",22,5,0,0,"0"
"512",238,12,"Femenino",41,2,4,1,"1"
"513",806,16,"Masculino",23,3,0,0,"0"
"514",63,12,"Femenino",26,3,0,1,"1"
"515",43,13,"Femenino",24,4,2,1,"1"
"516",819,15,"Femenino",24,3,0,0,"0"
"517",221,13,"Masculino",40,5,3,0,"0"
"518",291,12,"Masculino",48,3,1,0,"0"
"519",703,14,"Femenino",52,2,2,1,"1"
"520",733,12,"Femenino",61,2,0,1,"1"
"521",519,13,"Femenino",33,4,0,1,"1"
"522",973,13,"Masculino",38,3,4,0,"0"
"523",33,13,"Masculino",23,2,0,0,"0"
"524",968,13,"Femenino",37,3,0,0,"0"
"525",760,9,"Masculino",72,2,0,1,"1"
"526",831,14,"Femenino",26,6,1,1,"1"
"527",168,19,"Femenino",35,0,1,1,"1"
"528",969,13,"Femenino",37,3,2,0,"0"
"529",61,14,"Femenino",26,6,1,1,"1"
"530",452,10,"Femenino",26,3,3,0,"0"
"531",138,12,"Femenino",33,0,2,1,"1"
"532",52,12,"Femenino",25,4,1,1,"1"
"533",332,12,"Femenino",57,3,1,1,"1"
"534",163,12,"Masculino",34,5,2,0,"0"
"535",526,18,"Femenino",33,1,0,0,"0"
"536",650,12,"Masculino",44,1,2,1,"1"
"537",632,12,"Femenino",42,4,2,1,"1"
"538",978,16,"Femenino",38,2,0,0,"0"
"539",389,11,"Masculino",20,4,0,0,"0"
"540",147,16,"Femenino",33,3,0,0,"0"
"541",724,14,"Femenino",59,4,4,1,"1"
"542",105,14,"Femenino",30,2,2,0,"0"
"543",1023,18,"Masculino",43,3,1,1,"1"
"544",339,14,"Femenino",59,4,4,1,"1"
"545",640,19,"Masculino",43,1,3,1,"1"
"546",400,10,"Masculino",21,4,0,0,"0"
"547",1115,14,"Masculino",60,1,1,0,"0"
"548",981,16,"Femenino",39,1,2,1,"1"
"549",13,13,"Masculino",21,2,1,0,"0"
"550",705,8,"Masculino",52,4,4,1,"1"
"551",181,12,"Masculino",35,5,0,0,"0"
"552",738,6,"Femenino",61,6,4,0,"0"
"553",884,12,"Masculino",31,4,2,0,"0"
